,time,latitude,longitude,speed
0,2018-05-14 11:23:27.794,49.4847943227,20.0314991214,39.661605835
1,2018-05-14 11:23:27.816,49.4847943227,20.0314991214,39.661605835
2,2018-05-14 11:23:27.838,49.4847943227,20.0314991214,39.661605835
3,2018-05-14 11:23:27.860,49.4847943227,20.0314991214,39.661605835
4,2018-05-14 11:23:27.882,49.4847943227,20.0314991214,39.661605835
5,2018-05-14 11:23:27.902,49.4847943227,20.0314991214,39.661605835
6,2018-05-14 11:23:27.924,49.4847943227,20.0314991214,39.661605835
7,2018-05-14 11:23:27.946,49.4847943227,20.0314991214,39.661605835
8,2018-05-14 11:23:27.967,49.4847943227,20.0314991214,39.661605835
9,2018-05-14 11:23:27.989,49.4847943227,20.0314991214,39.661605835
10,2018-05-14 11:23:28.011,49.4847943227,20.0314991214,39.661605835
11,2018-05-14 11:23:28.033,49.4847943227,20.0314991214,39.661605835
12,2018-05-14 11:23:28.055,49.4847943227,20.0314991214,39.661605835
13,2018-05-14 11:23:28.077,49.4847943227,20.0314991214,39.661605835
14,2018-05-14 11:23:28.099,49.4847943227,20.0314991214,39.661605835
15,2018-05-14 11:23:28.120,49.4847943227,20.0314991214,39.661605835
16,2018-05-14 11:23:28.142,49.4847943227,20.0314991214,39.661605835
17,2018-05-14 11:23:28.164,49.4848926383,20.0314921052,38.3071048737
18,2018-05-14 11:23:28.185,49.4848926383,20.0314921052,38.3071048737
19,2018-05-14 11:23:28.207,49.4848926383,20.0314921052,38.3071048737
20,2018-05-14 11:23:28.228,49.4848926383,20.0314921052,38.3071048737
21,2018-05-14 11:23:28.249,49.4848926383,20.0314921052,38.3071048737
22,2018-05-14 11:23:28.269,49.4848926383,20.0314921052,38.3071048737
23,2018-05-14 11:23:28.290,49.4848926383,20.0314921052,38.3071048737
24,2018-05-14 11:23:28.312,49.4848926383,20.0314921052,38.3071048737
25,2018-05-14 11:23:28.333,49.4848926383,20.0314921052,38.3071048737
26,2018-05-14 11:23:28.355,49.4848926383,20.0314921052,38.3071048737
27,2018-05-14 11:23:28.377,49.4848926383,20.0314921052,38.3071048737
28,2018-05-14 11:23:28.398,49.4848926383,20.0314921052,38.3071048737
29,2018-05-14 11:23:28.422,49.4848926383,20.0314921052,38.3071048737
30,2018-05-14 11:23:28.444,49.4848926383,20.0314921052,38.3071048737
31,2018-05-14 11:23:28.465,49.4848926383,20.0314921052,38.3071048737
32,2018-05-14 11:23:28.487,49.4848926383,20.0314921052,38.3071048737
33,2018-05-14 11:23:28.509,49.4848926383,20.0314921052,38.3071048737
34,2018-05-14 11:23:28.531,49.4848926383,20.0314921052,38.3071048737
35,2018-05-14 11:23:28.553,49.4848926383,20.0314921052,38.3071048737
36,2018-05-14 11:23:28.575,49.4848926383,20.0314921052,38.3071048737
37,2018-05-14 11:23:28.597,49.4848926383,20.0314921052,38.3071048737
38,2018-05-14 11:23:28.619,49.4848926383,20.0314921052,38.3071048737
39,2018-05-14 11:23:28.642,49.4848926383,20.0314921052,38.3071048737
40,2018-05-14 11:23:28.664,49.4848926383,20.0314921052,38.3071048737
41,2018-05-14 11:23:28.685,49.4848926383,20.0314921052,38.3071048737
42,2018-05-14 11:23:28.707,49.4848926383,20.0314921052,38.3071048737
43,2018-05-14 11:23:28.729,49.4848926383,20.0314921052,38.3071048737
44,2018-05-14 11:23:28.751,49.4848926383,20.0314921052,38.3071048737
45,2018-05-14 11:23:28.773,49.4848926383,20.0314921052,38.3071048737
46,2018-05-14 11:23:28.794,49.4848926383,20.0314921052,38.3071048737
47,2018-05-14 11:23:28.816,49.4848926383,20.0314921052,38.3071048737
48,2018-05-14 11:23:28.838,49.4848926383,20.0314921052,38.3071048737
49,2018-05-14 11:23:28.859,49.4848926383,20.0314921052,38.3071048737
50,2018-05-14 11:23:28.881,49.4848926383,20.0314921052,38.3071048737
51,2018-05-14 11:23:28.903,49.4848926383,20.0314921052,38.3071048737
52,2018-05-14 11:23:28.924,49.4848926383,20.0314921052,38.3071048737
53,2018-05-14 11:23:28.946,49.4848926383,20.0314921052,38.3071048737
54,2018-05-14 11:23:28.968,49.4848926383,20.0314921052,38.3071048737
55,2018-05-14 11:23:28.990,49.4848926383,20.0314921052,38.3071048737
56,2018-05-14 11:23:29.012,49.4848926383,20.0314921052,38.3071048737
57,2018-05-14 11:23:29.034,49.4848926383,20.0314921052,38.3071048737
58,2018-05-14 11:23:29.056,49.4848926383,20.0314921052,38.3071048737
59,2018-05-14 11:23:29.078,49.4848926383,20.0314921052,38.3071048737
60,2018-05-14 11:23:29.100,49.4848926383,20.0314921052,38.3071048737
61,2018-05-14 11:23:29.122,49.4848926383,20.0314921052,38.3071048737
62,2018-05-14 11:23:29.144,49.4848926383,20.0314921052,38.3071048737
63,2018-05-14 11:23:29.166,49.4849773139,20.0314814835,32.7876457214
64,2018-05-14 11:23:29.188,49.4849773139,20.0314814835,32.7876457214
65,2018-05-14 11:23:29.209,49.4849773139,20.0314814835,32.7876457214
66,2018-05-14 11:23:29.230,49.4849773139,20.0314814835,32.7876457214
67,2018-05-14 11:23:29.251,49.4849773139,20.0314814835,32.7876457214
68,2018-05-14 11:23:29.272,49.4849773139,20.0314814835,32.7876457214
69,2018-05-14 11:23:29.293,49.4849773139,20.0314814835,32.7876457214
70,2018-05-14 11:23:29.314,49.4849773139,20.0314814835,32.7876457214
71,2018-05-14 11:23:29.335,49.4849773139,20.0314814835,32.7876457214
72,2018-05-14 11:23:29.356,49.4849773139,20.0314814835,32.7876457214
