time,latitude,longitude,speed
2018-05-12 16:10:07.066,50.0327407161,20.0628959688,85.3704025269
2018-05-12 16:10:07.093,50.0327407161,20.0628959688,85.3704025269
2018-05-12 16:10:07.120,50.0327407161,20.0628959688,85.3704025269
2018-05-12 16:10:07.149,50.0327407161,20.0628959688,85.3704025269
2018-05-12 16:10:07.178,50.0327407161,20.0628959688,85.3704025269
2018-05-12 16:10:07.209,50.0327407161,20.0628959688,85.3704025269
2018-05-12 16:10:07.241,50.0327407161,20.0628959688,85.3704025269
2018-05-12 16:10:07.272,50.0327407161,20.0628959688,85.3704025269
2018-05-12 16:10:07.305,50.0327407161,20.0628959688,85.3704025269
2018-05-12 16:10:07.337,50.0327407161,20.0628959688,85.3704025269
2018-05-12 16:10:07.368,50.0327407161,20.0628959688,85.3704025269
2018-05-12 16:10:07.400,50.0327407161,20.0628959688,85.3704025269
2018-05-12 16:10:07.431,50.0327407161,20.0628959688,85.3704025269
2018-05-12 16:10:07.461,50.0327407161,20.0628959688,85.3704025269
2018-05-12 16:10:07.494,50.0327407161,20.0628959688,85.3704025269
2018-05-12 16:10:07.525,50.0327407161,20.0628959688,85.3704025269
2018-05-12 16:10:07.555,50.0327407161,20.0628959688,85.3704025269
2018-05-12 16:10:07.587,50.0327407161,20.0628959688,85.3704025269
2018-05-12 16:10:07.618,50.0327407161,20.0628959688,85.3704025269
2018-05-12 16:10:07.650,50.0327407161,20.0628959688,85.3704025269
2018-05-12 16:10:07.682,50.0327407161,20.0628959688,85.3704025269
2018-05-12 16:10:07.714,50.0327407161,20.0628959688,85.3704025269
2018-05-12 16:10:07.744,50.0327407161,20.0628959688,85.3704025269
2018-05-12 16:10:07.772,50.0327407161,20.0628959688,85.3704025269
2018-05-12 16:10:07.802,50.0327407161,20.0628959688,85.3704025269
2018-05-12 16:10:07.831,50.0327407161,20.0628959688,85.3704025269
2018-05-12 16:10:07.863,50.0327407161,20.0628959688,85.3704025269
2018-05-12 16:10:07.897,50.0327407161,20.0628959688,85.3704025269
2018-05-12 16:10:07.929,50.0327407161,20.0628959688,85.3704025269
2018-05-12 16:10:07.967,50.0325261348,20.0628995918,87.4010055542
2018-05-12 16:10:08.013,50.0325261348,20.0628995918,87.4010055542
2018-05-12 16:10:08.040,50.0325261348,20.0628995918,87.4010055542
2018-05-12 16:10:08.066,50.0325261348,20.0628995918,87.4010055542
2018-05-12 16:10:08.094,50.0325261348,20.0628995918,87.4010055542
2018-05-12 16:10:08.123,50.0325261348,20.0628995918,87.4010055542
2018-05-12 16:10:08.152,50.0325261348,20.0628995918,87.4010055542
2018-05-12 16:10:08.182,50.0325261348,20.0628995918,87.4010055542
2018-05-12 16:10:08.212,50.0325261348,20.0628995918,87.4010055542
2018-05-12 16:10:08.243,50.0325261348,20.0628995918,87.4010055542
2018-05-12 16:10:08.273,50.0325261348,20.0628995918,87.4010055542
2018-05-12 16:10:08.306,50.0325261348,20.0628995918,87.4010055542
2018-05-12 16:10:08.337,50.0325261348,20.0628995918,87.4010055542
2018-05-12 16:10:08.369,50.0325261348,20.0628995918,87.4010055542
2018-05-12 16:10:08.401,50.0325261348,20.0628995918,87.4010055542
2018-05-12 16:10:08.432,50.0325261348,20.0628995918,87.4010055542
2018-05-12 16:10:08.463,50.0325261348,20.0628995918,87.4010055542
2018-05-12 16:10:08.497,50.0325261348,20.0628995918,87.4010055542
2018-05-12 16:10:08.528,50.0325261348,20.0628995918,87.4010055542
2018-05-12 16:10:08.560,50.0325261348,20.0628995918,87.4010055542
2018-05-12 16:10:08.591,50.0325261348,20.0628995918,87.4010055542
2018-05-12 16:10:08.623,50.0325261348,20.0628995918,87.4010055542
2018-05-12 16:10:08.654,50.0325261348,20.0628995918,87.4010055542
2018-05-12 16:10:08.687,50.0325261348,20.0628995918,87.4010055542
2018-05-12 16:10:08.718,50.0325261348,20.0628995918,87.4010055542
2018-05-12 16:10:08.750,50.0325261348,20.0628995918,87.4010055542
2018-05-12 16:10:08.778,50.0325261348,20.0628995918,87.4010055542
2018-05-12 16:10:08.807,50.0325261348,20.0628995918,87.4010055542
