time,latitude,longitude,speed
2018-05-25 18:17:23.518,50.0384289744,20.0405442724,54.2927719116
2018-05-25 18:17:23.542,50.0384289744,20.0405442724,54.2927719116
2018-05-25 18:17:23.563,50.0384289744,20.0405442724,54.2927719116
2018-05-25 18:17:23.584,50.0384289744,20.0405442724,54.2927719116
2018-05-25 18:17:23.605,50.0384289744,20.0405442724,54.2927719116
2018-05-25 18:17:23.628,50.0384289744,20.0405442724,54.2927719116
2018-05-25 18:17:23.650,50.0384289744,20.0405442724,54.2927719116
2018-05-25 18:17:23.675,50.0384289744,20.0405442724,54.2927719116
2018-05-25 18:17:23.697,50.0384289744,20.0405442724,54.2927719116
2018-05-25 18:17:23.721,50.0384289744,20.0405442724,54.2927719116
2018-05-25 18:17:23.742,50.0384289744,20.0405442724,54.2927719116
2018-05-25 18:17:23.770,50.0384193588,20.0407385344,49.0070606232
2018-05-25 18:17:23.793,50.0384193588,20.0407385344,49.0070606232
2018-05-25 18:17:23.820,50.0384193588,20.0407385344,49.0070606232
2018-05-25 18:17:23.843,50.0384193588,20.0407385344,49.0070606232
2018-05-25 18:17:23.867,50.0384193588,20.0407385344,49.0070606232
2018-05-25 18:17:23.890,50.0384193588,20.0407385344,49.0070606232
2018-05-25 18:17:23.925,50.0384193588,20.0407385344,49.0070606232
2018-05-25 18:17:23.947,50.0384193588,20.0407385344,49.0070606232
2018-05-25 18:17:23.969,50.0384193588,20.0407385344,49.0070606232
2018-05-25 18:17:23.992,50.0384193588,20.0407385344,49.0070606232
2018-05-25 18:17:24.016,50.0384193588,20.0407385344,49.0070606232
2018-05-25 18:17:24.038,50.0384193588,20.0407385344,49.0070606232
2018-05-25 18:17:24.059,50.0384193588,20.0407385344,49.0070606232
2018-05-25 18:17:24.081,50.0384193588,20.0407385344,49.0070606232
2018-05-25 18:17:24.106,50.0384193588,20.0407385344,49.0070606232
2018-05-25 18:17:24.129,50.0384193588,20.0407385344,49.0070606232
2018-05-25 18:17:24.164,50.0384193588,20.0407385344,49.0070606232
2018-05-25 18:17:24.186,50.0384193588,20.0407385344,49.0070606232
2018-05-25 18:17:24.207,50.0384193588,20.0407385344,49.0070606232
2018-05-25 18:17:24.230,50.0384193588,20.0407385344,49.0070606232
2018-05-25 18:17:24.252,50.0384193588,20.0407385344,49.0070606232
2018-05-25 18:17:24.273,50.0384193588,20.0407385344,49.0070606232
2018-05-25 18:17:24.294,50.0384193588,20.0407385344,49.0070606232
2018-05-25 18:17:24.326,50.0384193588,20.0407385344,49.0070606232
2018-05-25 18:17:24.348,50.0384193588,20.0407385344,49.0070606232
2018-05-25 18:17:24.370,50.0384193588,20.0407385344,49.0070606232
2018-05-25 18:17:24.393,50.0384193588,20.0407385344,49.0070606232
2018-05-25 18:17:24.414,50.0384193588,20.0407385344,49.0070606232
2018-05-25 18:17:24.439,50.0384193588,20.0407385344,49.0070606232
2018-05-25 18:17:24.461,50.0384193588,20.0407385344,49.0070606232
2018-05-25 18:17:24.484,50.0384193588,20.0407385344,49.0070606232
2018-05-25 18:17:24.510,50.0384193588,20.0407385344,49.0070606232
2018-05-25 18:17:24.533,50.0384193588,20.0407385344,49.0070606232
2018-05-25 18:17:24.556,50.0384193588,20.0407385344,49.0070606232
2018-05-25 18:17:24.578,50.0384193588,20.0407385344,49.0070606232
2018-05-25 18:17:24.599,50.0384193588,20.0407385344,49.0070606232
2018-05-25 18:17:24.621,50.0384193588,20.0407385344,49.0070606232
2018-05-25 18:17:24.649,50.0384193588,20.0407385344,49.0070606232
2018-05-25 18:17:24.677,50.0384193588,20.0407385344,49.0070606232
2018-05-25 18:17:24.698,50.0384193588,20.0407385344,49.0070606232
2018-05-25 18:17:24.728,50.0384193588,20.0407385344,49.0070606232
2018-05-25 18:17:24.750,50.0384193588,20.0407385344,49.0070606232
2018-05-25 18:17:24.772,50.0384102331,20.0409123309,44.3091281891
2018-05-25 18:17:24.794,50.0384102331,20.0409123309,44.3091281891
2018-05-25 18:17:24.820,50.0384102331,20.0409123309,44.3091281891
2018-05-25 18:17:24.841,50.0384102331,20.0409123309,44.3091281891
2018-05-25 18:17:24.868,50.0384102331,20.0409123309,44.3091281891
2018-05-25 18:17:24.890,50.0384102331,20.0409123309,44.3091281891
2018-05-25 18:17:24.916,50.0384102331,20.0409123309,44.3091281891
2018-05-25 18:17:24.938,50.0384102331,20.0409123309,44.3091281891
2018-05-25 18:17:24.959,50.0384102331,20.0409123309,44.3091281891
2018-05-25 18:17:24.981,50.0384102331,20.0409123309,44.3091281891
2018-05-25 18:17:25.006,50.0384102331,20.0409123309,44.3091281891
2018-05-25 18:17:25.028,50.0384102331,20.0409123309,44.3091281891
2018-05-25 18:17:25.050,50.0384102331,20.0409123309,44.3091281891
2018-05-25 18:17:25.074,50.0384102331,20.0409123309,44.3091281891
2018-05-25 18:17:25.096,50.0384102331,20.0409123309,44.3091281891
2018-05-25 18:17:25.118,50.0384102331,20.0409123309,44.3091281891
2018-05-25 18:17:25.142,50.0384102331,20.0409123309,44.3091281891
2018-05-25 18:17:25.167,50.0384102331,20.0409123309,44.3091281891
2018-05-25 18:17:25.190,50.0384102331,20.0409123309,44.3091281891
2018-05-25 18:17:25.212,50.0384102331,20.0409123309,44.3091281891
2018-05-25 18:17:25.235,50.0384102331,20.0409123309,44.3091281891
2018-05-25 18:17:25.256,50.0384102331,20.0409123309,44.3091281891
2018-05-25 18:17:25.277,50.0384102331,20.0409123309,44.3091281891
2018-05-25 18:17:25.299,50.0384102331,20.0409123309,44.3091281891
