14-05-2018 11:15:30:399;skret w prawo
14-05-2018 11:16:21:398;hamowanie
14-05-2018 11:16:23:338;zatrzymanie na swiatlach
14-05-2018 11:16:48:643;przyspieszanie na swiatlach
14-05-2018 11:17:03:505;hamowanie
14-05-2018 11:17:49:860;hamowanie
14-05-2018 11:19:16:905;przyspieszanie na swiatlach
14-05-2018 11:19:32:607;hamowanie
14-05-2018 11:20:00:122;zmiana pasa na lewy
14-05-2018 11:22:17:010;hamowanie
