timestamp,x,y,z;
711,-0.497994,3.275268,9.749189;
712,-0.488417,3.313575,9.739613;
713,-0.488417,3.418920,9.969456;
715,-0.268151,3.371036,9.490616;
716,-0.105345,3.074155,8.791509;
717,0.210690,2.786851,9.394848;
718,0.450110,2.624045,10.093954;
719,0.143652,2.384625,10.046070;
720,0.000000,2.279280,9.691729;
722,-0.124498,2.279280,9.069236;
723,-0.114922,2.308010,9.308656;
724,-0.325611,2.173935,9.710882;
725,-0.584185,2.145205,10.084377;
726,-0.459687,2.212242,9.768343;
727,-0.440533,2.432509,9.653421;
729,0.105345,2.154782,9.442732;
730,-0.143652,2.355895,9.538500;
731,0.000000,2.193089,9.346964;
732,0.220267,2.135628,8.437167;
733,0.105345,1.915361,8.638280;
734,0.181959,1.972822,9.002198;
736,1.091756,1.714248,8.868123;
737,1.742979,1.656788,8.619126;
738,0.565032,1.628057,9.730036;
739,0.526724,1.972822,9.672575;
740,0.430956,0.871489,10.180145;
742,0.871489,-0.086191,11.128249;
743,1.561020,0.239420,10.208876;
744,0.536301,0.699107,9.011775;
745,0.067038,1.216254,9.011775;
746,0.957681,0.670376,9.279925;
748,1.446098,0.928950,10.505757;
749,0.354342,-0.536301,10.668563;
